Name,Brand,Price,Ar Name,Ar Brand,Arabic Category,HighResImg,MediumResImg,LowResImg
TWININGS HERBS CAMOMILLE 25B,Twinings,61.95,,,,,,
Rabea Green Tea With Mint - 100+12 Bags,Rabee,56.95,,,,,,
Tchibo Exclusive Ground Coffee - 250 gm,Tchibo,79.95,,,,,,
Abu Auf Medium Plain Coffee - 400gm,Abu auf,65.50,,,,,,
Royal Babong & Anise Herbs Blend - 20 Bags...,Royal tea,13.75,,,,,,
Abu Auf Turkish Coffee With Cardamom - 200gm...,Abu auf,36.25,,,,,,
Dilmah Earl Grey Tea - 20 Bags,Dilmah,37.95,,,,,,
El Arosa Tea - 40 gm,El arosa tea,3.20,,,,,,
Isis Anise & Lemon Herbs - 25 Bags,Isis,16.25,,,,,,
TANG ORANG POWDER DRINK 25G*12,Tang,36.00,,,,,,
EL Arosa Premium Tea - 100 Bags,El arosa tea,35.95,,,,,,
Lipton Tea - 100 Bags + Mug,Lipton,44.95,,,,,,
Bonjorno Coffee Mix - 400 gm,Bonegyno,48.75,,,,,,
Dilmah Tea - 100 Bags,Dilmah,44.75,,,,,,
AlAmeed Medium Coffee With Cardamom - 200gm...,Al ameed,85.25,,,,,,
Fruitoria Sparkling Watermelon Drink - 300ml...,Fruitoria,8.75,,,,,,
Corona Drinking Chocolate Powder - 230gm,Corona,16.75,,,,,,
LIPTON DUST 40GM,Lipton,4.15,,,,,,
